 kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.140015,1.91719,134217728,f32,1,0,unit-stride,1,dram
SAXPY,1,0.117741,2.27988,134217728,f32,1,0,unit-stride,1,dram
SAXPY,2,0.132834,2.02084,134217728,f32,1,0,unit-stride,1,dram
SAXPY,3,0.12304,2.18169,134217728,f32,1,0,unit-stride,1,dram
SAXPY,4,0.10902,2.46225,134217728,f32,1,0,unit-stride,1,dram
SAXPY,5,0.100015,2.68395,134217728,f32,1,0,unit-stride,1,dram
SAXPY,6,0.117049,2.29335,134217728,f32,1,0,unit-stride,1,dram
SAXPY,7,0.106777,2.51398,134217728,f32,1,0,unit-stride,1,dram
SAXPY,8,0.0930517,2.8848,134217728,f32,1,0,unit-stride,1,dram
SAXPY,9,0.096021,2.79559,134217728,f32,1,0,unit-stride,1,dram
DOT,0,0.131064,2.04812,134217728,f32,1,0,unit-stride,1,dram
DOT,1,0.114027,2.35414,134217728,f32,1,0,unit-stride,1,dram
DOT,2,0.106022,2.53188,134217728,f32,1,0,unit-stride,1,dram
DOT,3,0.106023,2.53187,134217728,f32,1,0,unit-stride,1,dram
DOT,4,0.115029,2.33364,134217728,f32,1,0,unit-stride,1,dram
DOT,5,0.114024,2.3542,134217728,f32,1,0,unit-stride,1,dram
DOT,6,0.12101,2.2183,134217728,f32,1,0,unit-stride,1,dram
DOT,7,0.110042,2.43938,134217728,f32,1,0,unit-stride,1,dram
DOT,8,0.139846,1.91951,134217728,f32,1,0,unit-stride,1,dram
DOT,9,0.125935,2.13154,134217728,f32,1,0,unit-stride,1,dram
MUL,0,0.227576,0.589771,134217728,f32,1,0,unit-stride,1,dram
MUL,1,0.110039,1.21973,134217728,f32,1,0,unit-stride,1,dram
MUL,2,0.125735,1.06746,134217728,f32,1,0,unit-stride,1,dram
MUL,3,0.118438,1.13323,134217728,f32,1,0,unit-stride,1,dram
MUL,4,0.12016,1.11699,134217728,f32,1,0,unit-stride,1,dram
MUL,5,0.150469,0.891996,134217728,f32,1,0,unit-stride,1,dram
MUL,6,0.142056,0.944824,134217728,f32,1,0,unit-stride,1,dram
MUL,7,0.148666,0.902814,134217728,f32,1,0,unit-stride,1,dram
MUL,8,0.210648,0.637166,134217728,f32,1,0,unit-stride,1,dram
MUL,9,0.10963,1.22428,134217728,f32,1,0,unit-stride,1,dram
STENCIL,0,0.140231,4.7856,134217728,f32,1,0,unit-stride,1,dram
STENCIL,1,0.13177,5.09287,134217728,f32,1,0,unit-stride,1,dram
STENCIL,2,0.159452,4.20872,134217728,f32,1,0,unit-stride,1,dram
STENCIL,3,0.146736,4.57343,134217728,f32,1,0,unit-stride,1,dram
STENCIL,4,0.143826,4.66596,134217728,f32,1,0,unit-stride,1,dram
STENCIL,5,0.135021,4.97024,134217728,f32,1,0,unit-stride,1,dram
STENCIL,6,0.136265,4.92487,134217728,f32,1,0,unit-stride,1,dram
STENCIL,7,0.135974,4.93543,134217728,f32,1,0,unit-stride,1,dram
STENCIL,8,0.141549,4.74102,134217728,f32,1,0,unit-stride,1,dram
STENCIL,9,0.136532,4.91526,134217728,f32,1,0,unit-stride,1,dram
