kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.0009987,2.09988,1048576,f32,1,0,unit-stride,1,l3
SAXPY,1,0.0010082,2.0801,1048576,f32,1,0,unit-stride,1,l3
SAXPY,2,0.000998,2.10135,1048576,f32,1,0,unit-stride,1,l3
SAXPY,3,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
SAXPY,4,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
SAXPY,5,0.0010002,2.09673,1048576,f32,1,0,unit-stride,1,l3
SAXPY,6,0.0010008,2.09548,1048576,f32,1,0,unit-stride,1,l3
SAXPY,7,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
SAXPY,8,0.0009997,2.09778,1048576,f32,1,0,unit-stride,1,l3
SAXPY,9,0.0010004,2.09631,1048576,f32,1,0,unit-stride,1,l3
DOT,0,0.0010012,2.09464,1048576,f32,1,0,unit-stride,1,l3
DOT,1,0.0009991,2.09904,1048576,f32,1,0,unit-stride,1,l3
DOT,2,0.001,2.09715,1048576,f32,1,0,unit-stride,1,l3
DOT,3,0.0010002,2.09673,1048576,f32,1,0,unit-stride,1,l3
DOT,4,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
DOT,5,0.0010002,2.09673,1048576,f32,1,0,unit-stride,1,l3
DOT,6,0.0010002,2.09673,1048576,f32,1,0,unit-stride,1,l3
DOT,7,0.0010002,2.09673,1048576,f32,1,0,unit-stride,1,l3
DOT,8,0.0010003,2.09652,1048576,f32,1,0,unit-stride,1,l3
DOT,9,0.0010002,2.09673,1048576,f32,1,0,unit-stride,1,l3
MUL,0,0.0010011,1.04742,1048576,f32,1,0,unit-stride,1,l3
MUL,1,0.0010081,1.04015,1048576,f32,1,0,unit-stride,1,l3
MUL,2,0.000998,1.05068,1048576,f32,1,0,unit-stride,1,l3
MUL,3,0.002,0.524288,1048576,f32,1,0,unit-stride,1,l3
MUL,4,0.000995,1.05385,1048576,f32,1,0,unit-stride,1,l3
MUL,5,0.1,0.0104858,1048576,f32,1,0,unit-stride,1,l3
MUL,6,0.0009998,1.04879,1048576,f32,1,0,unit-stride,1,l3
MUL,7,0.0010002,1.04837,1048576,f32,1,0,unit-stride,1,l3
MUL,8,0.0010035,1.04492,1048576,f32,1,0,unit-stride,1,l3
MUL,9,0.0009966,1.05215,1048576,f32,1,0,unit-stride,1,l3
STENCIL,0,0.0010013,5.23607,1048576,f32,1,0,unit-stride,1,l3
STENCIL,1,0.0010021,5.23189,1048576,f32,1,0,unit-stride,1,l3
STENCIL,2,0.0009973,5.25707,1048576,f32,1,0,unit-stride,1,l3
STENCIL,3,0.0010002,5.24183,1048576,f32,1,0,unit-stride,1,l3
STENCIL,4,0.0010004,5.24078,1048576,f32,1,0,unit-stride,1,l3
STENCIL,5,0.0010005,5.24026,1048576,f32,1,0,unit-stride,1,l3
STENCIL,6,0.001,5.24288,1048576,f32,1,0,unit-stride,1,l3
STENCIL,7,0.0040042,1.30935,1048576,f32,1,0,unit-stride,1,l3
STENCIL,8,0.0010018,5.23346,1048576,f32,1,0,unit-stride,1,l3
STENCIL,9,0.0019992,2.62249,1048576,f32,1,0,unit-stride,1,l3
