kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
SAXPY,1,0.0010039,2.089,1048576,f32,1,0,unit-stride,1,l3
SAXPY,2,0.0009975,2.10241,1048576,f32,1,0,unit-stride,1,l3
SAXPY,3,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
SAXPY,4,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
SAXPY,5,0.0010089,2.07865,1048576,f32,1,0,unit-stride,1,l3
SAXPY,6,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
SAXPY,7,0.0009901,2.11812,1048576,f32,1,0,unit-stride,1,l3
SAXPY,8,0.001,2.09715,1048576,f32,1,0,unit-stride,1,l3
SAXPY,9,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
DOT,0,0.0010002,2.09673,1048576,f32,1,0,unit-stride,1,l3
DOT,1,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
DOT,2,0.0010059,2.08485,1048576,f32,1,0,unit-stride,1,l3
DOT,3,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
DOT,4,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
DOT,5,0.0009947,2.10833,1048576,f32,1,0,unit-stride,1,l3
DOT,6,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
DOT,7,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
DOT,8,0.0010003,2.09652,1048576,f32,1,0,unit-stride,1,l3
DOT,9,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
MUL,0,0.0010012,1.04732,1048576,f32,1,0,unit-stride,1,l3
MUL,1,0.0010032,1.04523,1048576,f32,1,0,unit-stride,1,l3
MUL,2,0.0010063,1.04201,1048576,f32,1,0,unit-stride,1,l3
MUL,3,0.1,0.0104858,1048576,f32,1,0,unit-stride,1,l3
MUL,4,0.1,0.0104858,1048576,f32,1,0,unit-stride,1,l3
MUL,5,0.0010002,1.04837,1048576,f32,1,0,unit-stride,1,l3
MUL,6,0.001,1.04858,1048576,f32,1,0,unit-stride,1,l3
MUL,7,0.0010005,1.04805,1048576,f32,1,0,unit-stride,1,l3
MUL,8,0.1,0.0104858,1048576,f32,1,0,unit-stride,1,l3
MUL,9,0.0009999,1.04868,1048576,f32,1,0,unit-stride,1,l3
STENCIL,0,0.0010013,5.23607,1048576,f32,1,0,unit-stride,1,l3
STENCIL,1,0.0010055,5.2142,1048576,f32,1,0,unit-stride,1,l3
STENCIL,2,0.1,0.0524288,1048576,f32,1,0,unit-stride,1,l3
STENCIL,3,0.0019976,2.62459,1048576,f32,1,0,unit-stride,1,l3
STENCIL,4,0.0010014,5.23555,1048576,f32,1,0,unit-stride,1,l3
STENCIL,5,0.1,0.0524288,1048576,f32,1,0,unit-stride,1,l3
STENCIL,6,0.1,0.0524288,1048576,f32,1,0,unit-stride,1,l3
STENCIL,7,0.0020028,2.61778,1048576,f32,1,0,unit-stride,1,l3
STENCIL,8,0.0010018,5.23346,1048576,f32,1,0,unit-stride,1,l3
STENCIL,9,0.0009961,5.26341,1048576,f32,1,0,unit-stride,1,l3
