kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
SAXPY,1,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
SAXPY,2,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
SAXPY,3,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
SAXPY,4,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
SAXPY,5,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
SAXPY,6,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
SAXPY,7,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
SAXPY,8,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
SAXPY,9,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
DOT,0,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
DOT,1,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
DOT,2,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
DOT,3,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
DOT,4,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
DOT,5,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
DOT,6,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
DOT,7,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
DOT,8,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
DOT,9,0.1,2.048e-05,1024,f32,1,0,unit-stride,1,sweep
MUL,0,0.1,1.024e-05,1024,f32,1,0,unit-stride,1,sweep
MUL,1,0.1,1.024e-05,1024,f32,1,0,unit-stride,1,sweep
MUL,2,0.1,1.024e-05,1024,f32,1,0,unit-stride,1,sweep
MUL,3,0.1,1.024e-05,1024,f32,1,0,unit-stride,1,sweep
MUL,4,0.1,1.024e-05,1024,f32,1,0,unit-stride,1,sweep
MUL,5,0.1,1.024e-05,1024,f32,1,0,unit-stride,1,sweep
MUL,6,0.1,1.024e-05,1024,f32,1,0,unit-stride,1,sweep
MUL,7,0.1,1.024e-05,1024,f32,1,0,unit-stride,1,sweep
MUL,8,0.1,1.024e-05,1024,f32,1,0,unit-stride,1,sweep
MUL,9,0.1,1.024e-05,1024,f32,1,0,unit-stride,1,sweep
STENCIL,0,0.1,5.12e-05,1024,f32,1,0,unit-stride,1,sweep
STENCIL,1,0.1,5.12e-05,1024,f32,1,0,unit-stride,1,sweep
STENCIL,2,0.1,5.12e-05,1024,f32,1,0,unit-stride,1,sweep
STENCIL,3,0.1,5.12e-05,1024,f32,1,0,unit-stride,1,sweep
STENCIL,4,0.1,5.12e-05,1024,f32,1,0,unit-stride,1,sweep
STENCIL,5,0.1,5.12e-05,1024,f32,1,0,unit-stride,1,sweep
STENCIL,6,0.1,5.12e-05,1024,f32,1,0,unit-stride,1,sweep
STENCIL,7,0.1,5.12e-05,1024,f32,1,0,unit-stride,1,sweep
STENCIL,8,0.1,5.12e-05,1024,f32,1,0,unit-stride,1,sweep
STENCIL,9,0.1,5.12e-05,1024,f32,1,0,unit-stride,1,sweep
SAXPY,0,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,sweep
