kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.137154,1.95718,134217731,f32,1,1,unit-stride,1,dram
SAXPY,1,0.0916436,2.92912,134217731,f32,1,1,unit-stride,1,dram
SAXPY,2,0.105677,2.54016,134217731,f32,1,1,unit-stride,1,dram
SAXPY,3,0.121966,2.2009,134217731,f32,1,1,unit-stride,1,dram
SAXPY,4,0.0923494,2.90674,134217731,f32,1,1,unit-stride,1,dram
SAXPY,5,0.0994149,2.70015,134217731,f32,1,1,unit-stride,1,dram
SAXPY,6,0.105539,2.54346,134217731,f32,1,1,unit-stride,1,dram
SAXPY,7,0.104467,2.56957,134217731,f32,1,1,unit-stride,1,dram
SAXPY,8,0.106404,2.5228,134217731,f32,1,1,unit-stride,1,dram
SAXPY,9,0.101614,2.64171,134217731,f32,1,1,unit-stride,1,dram
DOT,0,0.144691,1.85523,134217731,f32,1,1,unit-stride,1,dram
DOT,1,0.120797,2.22221,134217731,f32,1,1,unit-stride,1,dram
DOT,2,0.105539,2.54348,134217731,f32,1,1,unit-stride,1,dram
DOT,3,0.105994,2.53256,134217731,f32,1,1,unit-stride,1,dram
DOT,4,0.161518,1.66195,134217731,f32,1,1,unit-stride,1,dram
DOT,5,0.10811,2.48297,134217731,f32,1,1,unit-stride,1,dram
DOT,6,0.106296,2.52536,134217731,f32,1,1,unit-stride,1,dram
DOT,7,0.106053,2.53113,134217731,f32,1,1,unit-stride,1,dram
DOT,8,0.111482,2.40788,134217731,f32,1,1,unit-stride,1,dram
DOT,9,0.123027,2.18193,134217731,f32,1,1,unit-stride,1,dram
MUL,0,0.14414,0.931164,134217731,f32,1,1,unit-stride,1,dram
MUL,1,0.11419,1.17539,134217731,f32,1,1,unit-stride,1,dram
MUL,2,0.10683,1.25637,134217731,f32,1,1,unit-stride,1,dram
MUL,3,0.111504,1.20371,134217731,f32,1,1,unit-stride,1,dram
MUL,4,0.112702,1.19091,134217731,f32,1,1,unit-stride,1,dram
MUL,5,0.133855,1.00271,134217731,f32,1,1,unit-stride,1,dram
MUL,6,0.132624,1.01202,134217731,f32,1,1,unit-stride,1,dram
MUL,7,0.13414,1.00058,134217731,f32,1,1,unit-stride,1,dram
MUL,8,0.113029,1.18746,134217731,f32,1,1,unit-stride,1,dram
MUL,9,0.113325,1.18436,134217731,f32,1,1,unit-stride,1,dram
STENCIL,0,0.124627,5.38478,134217731,f32,1,1,unit-stride,1,dram
STENCIL,1,0.120794,5.55563,134217731,f32,1,1,unit-stride,1,dram
STENCIL,2,0.142892,4.69647,134217731,f32,1,1,unit-stride,1,dram
STENCIL,3,0.141216,4.75221,134217731,f32,1,1,unit-stride,1,dram
STENCIL,4,0.123752,5.42286,134217731,f32,1,1,unit-stride,1,dram
STENCIL,5,0.124852,5.37508,134217731,f32,1,1,unit-stride,1,dram
STENCIL,6,0.121048,5.54399,134217731,f32,1,1,unit-stride,1,dram
STENCIL,7,0.120218,5.58228,134217731,f32,1,1,unit-stride,1,dram
STENCIL,8,0.120808,5.555,134217731,f32,1,1,unit-stride,1,dram
STENCIL,9,0.121079,5.54256,134217731,f32,1,1,unit-stride,1,dram
