kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.126542,2.12131,134217728,f32,0,0,unit-stride,1,dram
SAXPY,1,0.104831,2.56064,134217728,f32,0,0,unit-stride,1,dram
SAXPY,2,0.106542,2.51952,134217728,f32,0,0,unit-stride,1,dram
SAXPY,3,0.119877,2.23925,134217728,f32,0,0,unit-stride,1,dram
SAXPY,4,0.202179,1.32771,134217728,f32,0,0,unit-stride,1,dram
SAXPY,5,0.206163,1.30206,134217728,f32,0,0,unit-stride,1,dram
SAXPY,6,0.217092,1.2365,134217728,f32,0,0,unit-stride,1,dram
SAXPY,7,0.165214,1.62477,134217728,f32,0,0,unit-stride,1,dram
SAXPY,8,0.132029,2.03316,134217728,f32,0,0,unit-stride,1,dram
SAXPY,9,0.141067,1.90289,134217728,f32,0,0,unit-stride,1,dram
DOT,0,0.16303,1.64654,134217728,f32,0,0,unit-stride,1,dram
DOT,1,0.126796,2.11707,134217728,f32,0,0,unit-stride,1,dram
DOT,2,0.133386,2.01247,134217728,f32,0,0,unit-stride,1,dram
DOT,3,0.14814,1.81204,134217728,f32,0,0,unit-stride,1,dram
DOT,4,0.143034,1.87672,134217728,f32,0,0,unit-stride,1,dram
DOT,5,0.135112,1.98677,134217728,f32,0,0,unit-stride,1,dram
DOT,6,0.140163,1.91516,134217728,f32,0,0,unit-stride,1,dram
DOT,7,0.136112,1.97216,134217728,f32,0,0,unit-stride,1,dram
DOT,8,0.12612,2.12842,134217728,f32,0,0,unit-stride,1,dram
DOT,9,0.130219,2.06141,134217728,f32,0,0,unit-stride,1,dram
MUL,0,0.177181,0.757518,134217728,f32,0,0,unit-stride,1,dram
MUL,1,0.152044,0.882758,134217728,f32,0,0,unit-stride,1,dram
MUL,2,0.147035,0.912832,134217728,f32,0,0,unit-stride,1,dram
MUL,3,0.164037,0.818214,134217728,f32,0,0,unit-stride,1,dram
MUL,4,0.149644,0.896914,134217728,f32,0,0,unit-stride,1,dram
MUL,5,0.148579,0.903345,134217728,f32,0,0,unit-stride,1,dram
MUL,6,0.150097,0.894204,134217728,f32,0,0,unit-stride,1,dram
MUL,7,0.161606,0.830525,134217728,f32,0,0,unit-stride,1,dram
MUL,8,0.179043,0.749639,134217728,f32,0,0,unit-stride,1,dram
MUL,9,0.156249,0.859001,134217728,f32,0,0,unit-stride,1,dram
STENCIL,0,0.192703,3.4825,134217728,f32,0,0,unit-stride,1,dram
STENCIL,1,0.208047,3.22566,134217728,f32,0,0,unit-stride,1,dram
STENCIL,2,0.162067,4.14082,134217728,f32,0,0,unit-stride,1,dram
STENCIL,3,0.181731,3.69276,134217728,f32,0,0,unit-stride,1,dram
STENCIL,4,0.166039,4.04175,134217728,f32,0,0,unit-stride,1,dram
STENCIL,5,0.157033,4.27354,134217728,f32,0,0,unit-stride,1,dram
STENCIL,6,0.217279,3.0886,134217728,f32,0,0,unit-stride,1,dram
STENCIL,7,0.277173,2.42119,134217728,f32,0,0,unit-stride,1,dram
STENCIL,8,0.16304,4.1161,134217728,f32,0,0,unit-stride,1,dram
STENCIL,9,0.164036,4.09111,134217728,f32,0,0,unit-stride,1,dram
