kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.161258,1.66463,134217731,f32,0,1,unit-stride,1,dram
SAXPY,1,0.109323,2.45543,134217731,f32,0,1,unit-stride,1,dram
SAXPY,2,0.109022,2.46222,134217731,f32,0,1,unit-stride,1,dram
SAXPY,3,0.120024,2.23651,134217731,f32,0,1,unit-stride,1,dram
SAXPY,4,0.102023,2.63113,134217731,f32,0,1,unit-stride,1,dram
SAXPY,5,0.136217,1.97065,134217731,f32,0,1,unit-stride,1,dram
SAXPY,6,0.109028,2.46208,134217731,f32,0,1,unit-stride,1,dram
SAXPY,7,0.103022,2.60563,134217731,f32,0,1,unit-stride,1,dram
SAXPY,8,0.115024,2.33373,134217731,f32,0,1,unit-stride,1,dram
SAXPY,9,0.106524,2.51995,134217731,f32,0,1,unit-stride,1,dram
DOT,0,0.120878,2.22071,134217731,f32,0,1,unit-stride,1,dram
DOT,1,0.114874,2.33677,134217731,f32,0,1,unit-stride,1,dram
DOT,2,0.139139,1.92925,134217731,f32,0,1,unit-stride,1,dram
DOT,3,0.107178,2.50457,134217731,f32,0,1,unit-stride,1,dram
DOT,4,0.11764,2.28183,134217731,f32,0,1,unit-stride,1,dram
DOT,5,0.110436,2.43069,134217731,f32,0,1,unit-stride,1,dram
DOT,6,0.106612,2.51788,134217731,f32,0,1,unit-stride,1,dram
DOT,7,0.13289,2.01998,134217731,f32,0,1,unit-stride,1,dram
DOT,8,0.107341,2.50078,134217731,f32,0,1,unit-stride,1,dram
DOT,9,0.111896,2.39897,134217731,f32,0,1,unit-stride,1,dram
MUL,0,0.146039,0.919051,134217731,f32,0,1,unit-stride,1,dram
MUL,1,0.121132,1.10803,134217731,f32,0,1,unit-stride,1,dram
MUL,2,0.108503,1.237,134217731,f32,0,1,unit-stride,1,dram
MUL,3,0.110152,1.21847,134217731,f32,0,1,unit-stride,1,dram
MUL,4,0.110715,1.21228,134217731,f32,0,1,unit-stride,1,dram
MUL,5,0.109573,1.22491,134217731,f32,0,1,unit-stride,1,dram
MUL,6,0.108811,1.23349,134217731,f32,0,1,unit-stride,1,dram
MUL,7,0.110224,1.21768,134217731,f32,0,1,unit-stride,1,dram
MUL,8,0.110464,1.21504,134217731,f32,0,1,unit-stride,1,dram
MUL,9,0.109527,1.22543,134217731,f32,0,1,unit-stride,1,dram
STENCIL,0,0.15301,4.38593,134217731,f32,0,1,unit-stride,1,dram
STENCIL,1,0.126386,5.30983,134217731,f32,0,1,unit-stride,1,dram
STENCIL,2,0.126637,5.29933,134217731,f32,0,1,unit-stride,1,dram
STENCIL,3,0.127407,5.26727,134217731,f32,0,1,unit-stride,1,dram
STENCIL,4,0.132885,5.05016,134217731,f32,0,1,unit-stride,1,dram
STENCIL,5,0.132198,5.07639,134217731,f32,0,1,unit-stride,1,dram
STENCIL,6,0.128746,5.21251,134217731,f32,0,1,unit-stride,1,dram
STENCIL,7,0.132814,5.05285,134217731,f32,0,1,unit-stride,1,dram
STENCIL,8,0.127518,5.26269,134217731,f32,0,1,unit-stride,1,dram
STENCIL,9,0.12959,5.17856,134217731,f32,0,1,unit-stride,1,dram
