kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.120419,2.22918,134217731,f32,1,1,unit-stride,1,dram
SAXPY,1,0.103453,2.59476,134217731,f32,1,1,unit-stride,1,dram
SAXPY,2,0.101363,2.64827,134217731,f32,1,1,unit-stride,1,dram
SAXPY,3,0.0998485,2.68843,134217731,f32,1,1,unit-stride,1,dram
SAXPY,4,0.099715,2.69203,134217731,f32,1,1,unit-stride,1,dram
SAXPY,5,0.100642,2.66724,134217731,f32,1,1,unit-stride,1,dram
SAXPY,6,0.0965265,2.78095,134217731,f32,1,1,unit-stride,1,dram
SAXPY,7,0.0982778,2.73139,134217731,f32,1,1,unit-stride,1,dram
SAXPY,8,0.10314,2.60263,134217731,f32,1,1,unit-stride,1,dram
SAXPY,9,0.101743,2.63837,134217731,f32,1,1,unit-stride,1,dram
DOT,0,0.0729314,3.68066,134217731,f32,1,1,unit-stride,1,dram
DOT,1,0.0692916,3.874,134217731,f32,1,1,unit-stride,1,dram
DOT,2,0.0796102,3.37187,134217731,f32,1,1,unit-stride,1,dram
DOT,3,0.0754539,3.55761,134217731,f32,1,1,unit-stride,1,dram
DOT,4,0.0758736,3.53793,134217731,f32,1,1,unit-stride,1,dram
DOT,5,0.0610678,4.3957,134217731,f32,1,1,unit-stride,1,dram
DOT,6,0.0643932,4.16869,134217731,f32,1,1,unit-stride,1,dram
DOT,7,0.0611653,4.38869,134217731,f32,1,1,unit-stride,1,dram
DOT,8,0.0596708,4.49861,134217731,f32,1,1,unit-stride,1,dram
DOT,9,0.0622023,4.31552,134217731,f32,1,1,unit-stride,1,dram
MUL,0,0.135338,0.991724,134217731,f32,1,1,unit-stride,1,dram
MUL,1,0.126858,1.05801,134217731,f32,1,1,unit-stride,1,dram
MUL,2,0.133759,1.00343,134217731,f32,1,1,unit-stride,1,dram
MUL,3,0.133105,1.00836,134217731,f32,1,1,unit-stride,1,dram
MUL,4,0.125363,1.07064,134217731,f32,1,1,unit-stride,1,dram
MUL,5,0.250974,0.534788,134217731,f32,1,1,unit-stride,1,dram
MUL,6,0.127804,1.05018,134217731,f32,1,1,unit-stride,1,dram
MUL,7,0.124594,1.07724,134217731,f32,1,1,unit-stride,1,dram
MUL,8,0.134318,0.999253,134217731,f32,1,1,unit-stride,1,dram
MUL,9,0.144998,0.925654,134217731,f32,1,1,unit-stride,1,dram
STENCIL,0,0.242647,2.7657,134217731,f32,1,1,unit-stride,1,dram
STENCIL,1,0.103101,6.50903,134217731,f32,1,1,unit-stride,1,dram
STENCIL,2,0.100382,6.68532,134217731,f32,1,1,unit-stride,1,dram
STENCIL,3,0.104761,6.40593,134217731,f32,1,1,unit-stride,1,dram
STENCIL,4,0.106749,6.28658,134217731,f32,1,1,unit-stride,1,dram
STENCIL,5,0.111568,6.01506,134217731,f32,1,1,unit-stride,1,dram
STENCIL,6,0.0971704,6.90631,134217731,f32,1,1,unit-stride,1,dram
STENCIL,7,0.0922998,7.27075,134217731,f32,1,1,unit-stride,1,dram
STENCIL,8,0.0915907,7.32704,134217731,f32,1,1,unit-stride,1,dram
STENCIL,9,0.0932624,7.1957,134217731,f32,1,1,unit-stride,1,dram
