kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.0990959,2.70885,134217728,f32,0,0,unit-stride,1,dram
SAXPY,1,0.0895402,2.99793,134217728,f32,0,0,unit-stride,1,dram
SAXPY,2,0.090893,2.95331,134217728,f32,0,0,unit-stride,1,dram
SAXPY,3,0.0921688,2.91243,134217728,f32,0,0,unit-stride,1,dram
SAXPY,4,0.0970838,2.76499,134217728,f32,0,0,unit-stride,1,dram
SAXPY,5,0.0943571,2.84489,134217728,f32,0,0,unit-stride,1,dram
SAXPY,6,0.0972758,2.75953,134217728,f32,0,0,unit-stride,1,dram
SAXPY,7,0.101173,2.65325,134217728,f32,0,0,unit-stride,1,dram
SAXPY,8,0.0950312,2.82471,134217728,f32,0,0,unit-stride,1,dram
SAXPY,9,0.101136,2.65421,134217728,f32,0,0,unit-stride,1,dram
DOT,0,0.0599419,4.47826,134217728,f32,0,0,unit-stride,1,dram
DOT,1,0.0642937,4.17514,134217728,f32,0,0,unit-stride,1,dram
DOT,2,0.0613449,4.37584,134217728,f32,0,0,unit-stride,1,dram
DOT,3,0.059193,4.53492,134217728,f32,0,0,unit-stride,1,dram
DOT,4,0.0619102,4.33588,134217728,f32,0,0,unit-stride,1,dram
DOT,5,0.0558036,4.81036,134217728,f32,0,0,unit-stride,1,dram
DOT,6,0.0597166,4.49516,134217728,f32,0,0,unit-stride,1,dram
DOT,7,0.0575344,4.66565,134217728,f32,0,0,unit-stride,1,dram
DOT,8,0.0564927,4.75168,134217728,f32,0,0,unit-stride,1,dram
DOT,9,0.0614019,4.37178,134217728,f32,0,0,unit-stride,1,dram
MUL,0,0.136951,0.980046,134217728,f32,0,0,unit-stride,1,dram
MUL,1,0.123278,1.08874,134217728,f32,0,0,unit-stride,1,dram
MUL,2,0.127393,1.05357,134217728,f32,0,0,unit-stride,1,dram
MUL,3,0.124967,1.07402,134217728,f32,0,0,unit-stride,1,dram
MUL,4,0.132835,1.01041,134217728,f32,0,0,unit-stride,1,dram
MUL,5,0.128217,1.04681,134217728,f32,0,0,unit-stride,1,dram
MUL,6,0.125166,1.07232,134217728,f32,0,0,unit-stride,1,dram
MUL,7,0.122534,1.09535,134217728,f32,0,0,unit-stride,1,dram
MUL,8,0.136541,0.982988,134217728,f32,0,0,unit-stride,1,dram
MUL,9,0.135124,0.993295,134217728,f32,0,0,unit-stride,1,dram
STENCIL,0,0.109097,6.15132,134217728,f32,0,0,unit-stride,1,dram
STENCIL,1,0.107748,6.22831,134217728,f32,0,0,unit-stride,1,dram
STENCIL,2,0.101521,6.61037,134217728,f32,0,0,unit-stride,1,dram
STENCIL,3,0.0975634,6.87849,134217728,f32,0,0,unit-stride,1,dram
STENCIL,4,0.0976302,6.87378,134217728,f32,0,0,unit-stride,1,dram
STENCIL,5,0.114993,5.83592,134217728,f32,0,0,unit-stride,1,dram
STENCIL,6,0.106521,6.30008,134217728,f32,0,0,unit-stride,1,dram
STENCIL,7,0.116324,5.76912,134217728,f32,0,0,unit-stride,1,dram
STENCIL,8,0.137204,4.89119,134217728,f32,0,0,unit-stride,1,dram
STENCIL,9,0.106546,6.2986,134217728,f32,0,0,unit-stride,1,dram
