kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.109404,2.45361,134217731,f32,0,1,unit-stride,1,dram
SAXPY,1,0.101666,2.64037,134217731,f32,0,1,unit-stride,1,dram
SAXPY,2,0.101067,2.65602,134217731,f32,0,1,unit-stride,1,dram
SAXPY,3,0.0956811,2.80552,134217731,f32,0,1,unit-stride,1,dram
SAXPY,4,0.107046,2.50767,134217731,f32,0,1,unit-stride,1,dram
SAXPY,5,0.104714,2.56352,134217731,f32,0,1,unit-stride,1,dram
SAXPY,6,0.191455,1.40208,134217731,f32,0,1,unit-stride,1,dram
SAXPY,7,0.178835,1.50102,134217731,f32,0,1,unit-stride,1,dram
SAXPY,8,0.166055,1.61655,134217731,f32,0,1,unit-stride,1,dram
SAXPY,9,0.125883,2.13242,134217731,f32,0,1,unit-stride,1,dram
DOT,0,0.0662786,4.05011,134217731,f32,0,1,unit-stride,1,dram
DOT,1,0.0664457,4.03992,134217731,f32,0,1,unit-stride,1,dram
DOT,2,0.0729569,3.67937,134217731,f32,0,1,unit-stride,1,dram
DOT,3,0.0664722,4.03831,134217731,f32,0,1,unit-stride,1,dram
DOT,4,0.0620786,4.32412,134217731,f32,0,1,unit-stride,1,dram
DOT,5,0.0603731,4.44628,134217731,f32,0,1,unit-stride,1,dram
DOT,6,0.0725279,3.70113,134217731,f32,0,1,unit-stride,1,dram
DOT,7,0.0611763,4.3879,134217731,f32,0,1,unit-stride,1,dram
DOT,8,0.0715134,3.75364,134217731,f32,0,1,unit-stride,1,dram
DOT,9,0.0834283,3.21756,134217731,f32,0,1,unit-stride,1,dram
MUL,0,0.150353,0.892683,134217731,f32,0,1,unit-stride,1,dram
MUL,1,0.138005,0.97256,134217731,f32,0,1,unit-stride,1,dram
MUL,2,0.143853,0.933018,134217731,f32,0,1,unit-stride,1,dram
MUL,3,0.136214,0.985342,134217731,f32,0,1,unit-stride,1,dram
MUL,4,0.141461,0.948797,134217731,f32,0,1,unit-stride,1,dram
MUL,5,0.141583,0.94798,134217731,f32,0,1,unit-stride,1,dram
MUL,6,0.13184,1.01804,134217731,f32,0,1,unit-stride,1,dram
MUL,7,0.136257,0.985031,134217731,f32,0,1,unit-stride,1,dram
MUL,8,0.132315,1.01438,134217731,f32,0,1,unit-stride,1,dram
MUL,9,0.130742,1.02658,134217731,f32,0,1,unit-stride,1,dram
STENCIL,0,0.1092,6.14548,134217731,f32,0,1,unit-stride,1,dram
STENCIL,1,0.119974,5.59363,134217731,f32,0,1,unit-stride,1,dram
STENCIL,2,0.107598,6.23698,134217731,f32,0,1,unit-stride,1,dram
STENCIL,3,0.0988733,6.78736,134217731,f32,0,1,unit-stride,1,dram
STENCIL,4,0.102966,6.51756,134217731,f32,0,1,unit-stride,1,dram
STENCIL,5,0.0972542,6.90036,134217731,f32,0,1,unit-stride,1,dram
STENCIL,6,0.0996322,6.73566,134217731,f32,0,1,unit-stride,1,dram
STENCIL,7,0.101244,6.62845,134217731,f32,0,1,unit-stride,1,dram
STENCIL,8,0.100893,6.65147,134217731,f32,0,1,unit-stride,1,dram
STENCIL,9,0.101424,6.61667,134217731,f32,0,1,unit-stride,1,dram
