kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.705352,0.38057,134217728,f32,1,0,gather,8,dram
SAXPY,1,0.721828,0.371883,134217728,f32,1,0,gather,8,dram
SAXPY,2,0.671489,0.399762,134217728,f32,1,0,gather,8,dram
SAXPY,3,0.682497,0.393314,134217728,f32,1,0,gather,8,dram
SAXPY,4,0.680758,0.394318,134217728,f32,1,0,gather,8,dram
SAXPY,5,0.677795,0.396042,134217728,f32,1,0,gather,8,dram
SAXPY,6,0.667148,0.402363,134217728,f32,1,0,gather,8,dram
SAXPY,7,0.670288,0.400477,134217728,f32,1,0,gather,8,dram
SAXPY,8,0.682893,0.393086,134217728,f32,1,0,gather,8,dram
SAXPY,9,0.683507,0.392733,134217728,f32,1,0,gather,8,dram
DOT,0,0.427148,0.628436,134217728,f32,1,0,gather,8,dram
DOT,1,0.511819,0.524473,134217728,f32,1,0,gather,8,dram
DOT,2,0.598475,0.448533,134217728,f32,1,0,gather,8,dram
DOT,3,0.562117,0.477544,134217728,f32,1,0,gather,8,dram
DOT,4,0.544105,0.493352,134217728,f32,1,0,gather,8,dram
DOT,5,0.520289,0.515935,134217728,f32,1,0,gather,8,dram
DOT,6,0.541211,0.49599,134217728,f32,1,0,gather,8,dram
DOT,7,0.778045,0.345013,134217728,f32,1,0,gather,8,dram
DOT,8,0.518244,0.517971,134217728,f32,1,0,gather,8,dram
DOT,9,0.547646,0.490162,134217728,f32,1,0,gather,8,dram
MUL,0,1.20538,0.111349,134217728,f32,1,0,gather,8,dram
MUL,1,1.07075,0.12535,134217728,f32,1,0,gather,8,dram
MUL,2,1.05349,0.127403,134217728,f32,1,0,gather,8,dram
MUL,3,1.12756,0.119034,134217728,f32,1,0,gather,8,dram
MUL,4,1.09715,0.122333,134217728,f32,1,0,gather,8,dram
MUL,5,1.10282,0.121704,134217728,f32,1,0,gather,8,dram
MUL,6,1.51923,0.0883458,134217728,f32,1,0,gather,8,dram
MUL,7,1.13851,0.117889,134217728,f32,1,0,gather,8,dram
MUL,8,1.04883,0.127969,134217728,f32,1,0,gather,8,dram
MUL,9,0.970151,0.138347,134217728,f32,1,0,gather,8,dram
STENCIL,0,0.907526,0.73947,134217728,f32,1,0,gather,8,dram
STENCIL,1,0.858602,0.781606,134217728,f32,1,0,gather,8,dram
STENCIL,2,0.807978,0.830578,134217728,f32,1,0,gather,8,dram
STENCIL,3,0.921094,0.728578,134217728,f32,1,0,gather,8,dram
STENCIL,4,0.934278,0.718296,134217728,f32,1,0,gather,8,dram
STENCIL,5,0.959491,0.699422,134217728,f32,1,0,gather,8,dram
STENCIL,6,0.822836,0.81558,134217728,f32,1,0,gather,8,dram
STENCIL,7,0.83719,0.801597,134217728,f32,1,0,gather,8,dram
STENCIL,8,0.821958,0.816451,134217728,f32,1,0,gather,8,dram
STENCIL,9,0.844543,0.794617,134217728,f32,1,0,gather,8,dram
