kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.132767,2.02185,134217728,f32,1,0,strided,4,dram
SAXPY,1,0.126017,2.13015,134217728,f32,1,0,strided,4,dram
SAXPY,2,0.136386,1.96821,134217728,f32,1,0,strided,4,dram
SAXPY,3,0.118021,2.27446,134217728,f32,1,0,strided,4,dram
SAXPY,4,0.09202,2.91714,134217728,f32,1,0,strided,4,dram
SAXPY,5,0.112856,2.37857,134217728,f32,1,0,strided,4,dram
SAXPY,6,0.0960206,2.7956,134217728,f32,1,0,strided,4,dram
SAXPY,7,0.102024,2.6311,134217728,f32,1,0,strided,4,dram
SAXPY,8,0.106021,2.5319,134217728,f32,1,0,strided,4,dram
SAXPY,9,0.0981748,2.73426,134217728,f32,1,0,strided,4,dram
DOT,0,0.0600147,4.47283,134217728,f32,1,0,strided,4,dram
DOT,1,0.0626979,4.28141,134217728,f32,1,0,strided,4,dram
DOT,2,0.061202,4.38606,134217728,f32,1,0,strided,4,dram
DOT,3,0.067014,4.00566,134217728,f32,1,0,strided,4,dram
DOT,4,0.0580124,4.62721,134217728,f32,1,0,strided,4,dram
DOT,5,0.0629943,4.26127,134217728,f32,1,0,strided,4,dram
DOT,6,0.0630136,4.25996,134217728,f32,1,0,strided,4,dram
DOT,7,0.0598032,4.48865,134217728,f32,1,0,strided,4,dram
DOT,8,0.0590371,4.54689,134217728,f32,1,0,strided,4,dram
DOT,9,0.0589905,4.55049,134217728,f32,1,0,strided,4,dram
MUL,0,0.115297,1.16411,134217728,f32,1,0,strided,4,dram
MUL,1,0.126825,1.05829,134217728,f32,1,0,strided,4,dram
MUL,2,0.128008,1.04851,134217728,f32,1,0,strided,4,dram
MUL,3,0.125936,1.06576,134217728,f32,1,0,strided,4,dram
MUL,4,0.135039,0.993917,134217728,f32,1,0,strided,4,dram
MUL,5,0.136029,0.986683,134217728,f32,1,0,strided,4,dram
MUL,6,0.149032,0.900599,134217728,f32,1,0,strided,4,dram
MUL,7,0.136035,0.986641,134217728,f32,1,0,strided,4,dram
MUL,8,0.169017,0.794106,134217728,f32,1,0,strided,4,dram
MUL,9,0.167187,0.802799,134217728,f32,1,0,strided,4,dram
STENCIL,0,0.194064,3.45807,134217728,f32,1,0,strided,4,dram
STENCIL,1,0.170021,3.94709,134217728,f32,1,0,strided,4,dram
STENCIL,2,0.239051,2.8073,134217728,f32,1,0,strided,4,dram
STENCIL,3,0.217049,3.09188,134217728,f32,1,0,strided,4,dram
STENCIL,4,0.215071,3.12032,134217728,f32,1,0,strided,4,dram
STENCIL,5,0.171032,3.92377,134217728,f32,1,0,strided,4,dram
STENCIL,6,0.166036,4.04183,134217728,f32,1,0,strided,4,dram
STENCIL,7,0.170038,3.94671,134217728,f32,1,0,strided,4,dram
STENCIL,8,0.197004,3.40647,134217728,f32,1,0,strided,4,dram
STENCIL,9,0.149241,4.49668,134217728,f32,1,0,strided,4,dram
