kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.427989,0.627202,134217728,f32,1,0,gather,4,dram
SAXPY,1,0.42574,0.630516,134217728,f32,1,0,gather,4,dram
SAXPY,2,0.482435,0.556418,134217728,f32,1,0,gather,4,dram
SAXPY,3,0.467106,0.574678,134217728,f32,1,0,gather,4,dram
SAXPY,4,0.43739,0.613721,134217728,f32,1,0,gather,4,dram
SAXPY,5,0.448438,0.598601,134217728,f32,1,0,gather,4,dram
SAXPY,6,0.447093,0.600402,134217728,f32,1,0,gather,4,dram
SAXPY,7,0.446108,0.601728,134217728,f32,1,0,gather,4,dram
SAXPY,8,0.451732,0.594236,134217728,f32,1,0,gather,4,dram
SAXPY,9,0.514276,0.521968,134217728,f32,1,0,gather,4,dram
DOT,0,0.341079,0.787017,134217728,f32,1,0,gather,4,dram
DOT,1,0.286063,0.938378,134217728,f32,1,0,gather,4,dram
DOT,2,0.380361,0.70574,134217728,f32,1,0,gather,4,dram
DOT,3,0.320282,0.838121,134217728,f32,1,0,gather,4,dram
DOT,4,0.325435,0.82485,134217728,f32,1,0,gather,4,dram
DOT,5,0.335076,0.801119,134217728,f32,1,0,gather,4,dram
DOT,6,0.257929,1.04073,134217728,f32,1,0,gather,4,dram
DOT,7,0.241057,1.11358,134217728,f32,1,0,gather,4,dram
DOT,8,0.240124,1.1179,134217728,f32,1,0,gather,4,dram
DOT,9,0.269298,0.996795,134217728,f32,1,0,gather,4,dram
MUL,0,0.517666,0.259275,134217728,f32,1,0,gather,4,dram
MUL,1,0.539588,0.248741,134217728,f32,1,0,gather,4,dram
MUL,2,0.555852,0.241463,134217728,f32,1,0,gather,4,dram
MUL,3,0.53128,0.252631,134217728,f32,1,0,gather,4,dram
MUL,4,0.4988,0.269081,134217728,f32,1,0,gather,4,dram
MUL,5,0.520862,0.257684,134217728,f32,1,0,gather,4,dram
MUL,6,0.574548,0.233606,134217728,f32,1,0,gather,4,dram
MUL,7,0.5895,0.227681,134217728,f32,1,0,gather,4,dram
MUL,8,0.538454,0.249265,134217728,f32,1,0,gather,4,dram
MUL,9,0.589122,0.227827,134217728,f32,1,0,gather,4,dram
STENCIL,0,0.465273,1.44236,134217728,f32,1,0,gather,4,dram
STENCIL,1,0.441168,1.52116,134217728,f32,1,0,gather,4,dram
STENCIL,2,0.433405,1.54841,134217728,f32,1,0,gather,4,dram
STENCIL,3,0.450108,1.49095,134217728,f32,1,0,gather,4,dram
STENCIL,4,0.397055,1.69016,134217728,f32,1,0,gather,4,dram
STENCIL,5,0.406096,1.65254,134217728,f32,1,0,gather,4,dram
STENCIL,6,0.438094,1.53184,134217728,f32,1,0,gather,4,dram
STENCIL,7,0.484066,1.38636,134217728,f32,1,0,gather,4,dram
STENCIL,8,0.416334,1.6119,134217728,f32,1,0,gather,4,dram
STENCIL,9,0.397092,1.69001,134217728,f32,1,0,gather,4,dram
