kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.0950482,2.8242,134217728,f32,1,0,strided,4,dram
SAXPY,1,0.0820267,3.27254,134217728,f32,1,0,strided,4,dram
SAXPY,2,0.0789408,3.40047,134217728,f32,1,0,strided,4,dram
SAXPY,3,0.0810136,3.31346,134217728,f32,1,0,strided,4,dram
SAXPY,4,0.0873704,3.07238,134217728,f32,1,0,strided,4,dram
SAXPY,5,0.0780248,3.44039,134217728,f32,1,0,strided,4,dram
SAXPY,6,0.0820179,3.27289,134217728,f32,1,0,strided,4,dram
SAXPY,7,0.0830186,3.23344,134217728,f32,1,0,strided,4,dram
SAXPY,8,0.0850182,3.15739,134217728,f32,1,0,strided,4,dram
SAXPY,9,0.0840204,3.19488,134217728,f32,1,0,strided,4,dram
DOT,0,0.053136,5.05186,134217728,f32,1,0,strided,4,dram
DOT,1,0.0525821,5.10507,134217728,f32,1,0,strided,4,dram
DOT,2,0.0480126,5.59094,134217728,f32,1,0,strided,4,dram
DOT,3,0.0460072,5.83464,134217728,f32,1,0,strided,4,dram
DOT,4,0.0460117,5.83407,134217728,f32,1,0,strided,4,dram
DOT,5,0.0490119,5.47694,134217728,f32,1,0,strided,4,dram
DOT,6,0.0450038,5.96473,134217728,f32,1,0,strided,4,dram
DOT,7,0.0450144,5.96332,134217728,f32,1,0,strided,4,dram
DOT,8,0.0460116,5.83408,134217728,f32,1,0,strided,4,dram
DOT,9,0.0460089,5.83442,134217728,f32,1,0,strided,4,dram
MUL,0,0.113052,1.18723,134217728,f32,1,0,strided,4,dram
MUL,1,0.104401,1.2856,134217728,f32,1,0,strided,4,dram
MUL,2,0.100026,1.34183,134217728,f32,1,0,strided,4,dram
MUL,3,0.0999879,1.34234,134217728,f32,1,0,strided,4,dram
MUL,4,0.101053,1.3282,134217728,f32,1,0,strided,4,dram
MUL,5,0.108016,1.24257,134217728,f32,1,0,strided,4,dram
MUL,6,0.105033,1.27786,134217728,f32,1,0,strided,4,dram
MUL,7,0.106732,1.25753,134217728,f32,1,0,strided,4,dram
MUL,8,0.1081,1.2416,134217728,f32,1,0,strided,4,dram
MUL,9,0.104021,1.29029,134217728,f32,1,0,strided,4,dram
STENCIL,0,0.162741,4.12367,134217728,f32,1,0,strided,4,dram
STENCIL,1,0.142167,4.72043,134217728,f32,1,0,strided,4,dram
STENCIL,2,0.14936,4.4931,134217728,f32,1,0,strided,4,dram
STENCIL,3,0.15626,4.29469,134217728,f32,1,0,strided,4,dram
STENCIL,4,0.154109,4.35464,134217728,f32,1,0,strided,4,dram
STENCIL,5,0.153672,4.36701,134217728,f32,1,0,strided,4,dram
STENCIL,6,0.13903,4.82693,134217728,f32,1,0,strided,4,dram
STENCIL,7,0.143032,4.69187,134217728,f32,1,0,strided,4,dram
STENCIL,8,0.1413,4.74941,134217728,f32,1,0,strided,4,dram
STENCIL,9,0.13303,5.04464,134217728,f32,1,0,strided,4,dram
