kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.0946416,2.83634,134217728,f32,1,0,unit-stride,1,dram
SAXPY,1,0.114061,2.35344,134217728,f32,1,0,unit-stride,1,dram
SAXPY,2,0.0940217,2.85504,134217728,f32,1,0,unit-stride,1,dram
SAXPY,3,0.0920182,2.9172,134217728,f32,1,0,unit-stride,1,dram
SAXPY,4,0.0909875,2.95025,134217728,f32,1,0,unit-stride,1,dram
SAXPY,5,0.0911203,2.94595,134217728,f32,1,0,unit-stride,1,dram
SAXPY,6,0.0949984,2.82568,134217728,f32,1,0,unit-stride,1,dram
SAXPY,7,0.0900479,2.98103,134217728,f32,1,0,unit-stride,1,dram
SAXPY,8,0.0970215,2.76676,134217728,f32,1,0,unit-stride,1,dram
SAXPY,9,0.0893827,3.00321,134217728,f32,1,0,unit-stride,1,dram
DOT,0,0.109231,2.45751,134217728,f32,1,0,unit-stride,1,dram
DOT,1,0.107046,2.50766,134217728,f32,1,0,unit-stride,1,dram
DOT,2,0.106024,2.53184,134217728,f32,1,0,unit-stride,1,dram
DOT,3,0.108002,2.48548,134217728,f32,1,0,unit-stride,1,dram
DOT,4,0.105046,2.5554,134217728,f32,1,0,unit-stride,1,dram
DOT,5,0.106018,2.53197,134217728,f32,1,0,unit-stride,1,dram
DOT,6,0.107031,2.50802,134217728,f32,1,0,unit-stride,1,dram
DOT,7,0.106022,2.53188,134217728,f32,1,0,unit-stride,1,dram
DOT,8,0.106001,2.53238,134217728,f32,1,0,unit-stride,1,dram
DOT,9,0.106023,2.53186,134217728,f32,1,0,unit-stride,1,dram
MUL,0,0.106043,1.26569,134217728,f32,1,0,unit-stride,1,dram
MUL,1,0.109025,1.23108,134217728,f32,1,0,unit-stride,1,dram
MUL,2,0.105025,1.27796,134217728,f32,1,0,unit-stride,1,dram
MUL,3,0.129889,1.03332,134217728,f32,1,0,unit-stride,1,dram
MUL,4,0.115037,1.16674,134217728,f32,1,0,unit-stride,1,dram
MUL,5,0.110994,1.20923,134217728,f32,1,0,unit-stride,1,dram
MUL,6,0.105055,1.2776,134217728,f32,1,0,unit-stride,1,dram
MUL,7,0.119993,1.11854,134217728,f32,1,0,unit-stride,1,dram
MUL,8,0.106111,1.26489,134217728,f32,1,0,unit-stride,1,dram
MUL,9,0.107027,1.25406,134217728,f32,1,0,unit-stride,1,dram
STENCIL,0,0.13006,5.15982,134217728,f32,1,0,unit-stride,1,dram
STENCIL,1,0.117025,5.73459,134217728,f32,1,0,unit-stride,1,dram
STENCIL,2,0.126,5.32611,134217728,f32,1,0,unit-stride,1,dram
STENCIL,3,0.119143,5.63261,134217728,f32,1,0,unit-stride,1,dram
STENCIL,4,0.1236,5.42953,134217728,f32,1,0,unit-stride,1,dram
STENCIL,5,0.118038,5.68536,134217728,f32,1,0,unit-stride,1,dram
STENCIL,6,0.129028,5.2011,134217728,f32,1,0,unit-stride,1,dram
STENCIL,7,0.123027,5.45479,134217728,f32,1,0,unit-stride,1,dram
STENCIL,8,0.116028,5.78387,134217728,f32,1,0,unit-stride,1,dram
STENCIL,9,0.118027,5.68589,134217728,f32,1,0,unit-stride,1,dram
