kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.12403,2.16428,134217728,i32,1,0,unit-stride,1,dram
SAXPY,1,0.12303,2.18186,134217728,i32,1,0,unit-stride,1,dram
SAXPY,2,0.111026,2.41777,134217728,i32,1,0,unit-stride,1,dram
SAXPY,3,0.119027,2.25525,134217728,i32,1,0,unit-stride,1,dram
SAXPY,4,0.112024,2.39623,134217728,i32,1,0,unit-stride,1,dram
SAXPY,5,0.10803,2.48482,134217728,i32,1,0,unit-stride,1,dram
SAXPY,6,0.105016,2.55614,134217728,i32,1,0,unit-stride,1,dram
SAXPY,7,0.115026,2.33369,134217728,i32,1,0,unit-stride,1,dram
SAXPY,8,0.110643,2.42614,134217728,i32,1,0,unit-stride,1,dram
SAXPY,9,0.116015,2.31379,134217728,i32,1,0,unit-stride,1,dram
DOT,0,0.101023,2.65718,134217728,i32,1,0,unit-stride,1,dram
DOT,1,0.0949746,2.82639,134217728,i32,1,0,unit-stride,1,dram
DOT,2,0.0860418,3.11983,134217728,i32,1,0,unit-stride,1,dram
DOT,3,0.0859944,3.12155,134217728,i32,1,0,unit-stride,1,dram
DOT,4,0.0870193,3.08478,134217728,i32,1,0,unit-stride,1,dram
DOT,5,0.103029,2.60545,134217728,i32,1,0,unit-stride,1,dram
DOT,6,0.113644,2.36208,134217728,i32,1,0,unit-stride,1,dram
DOT,7,0.0960157,2.79575,134217728,i32,1,0,unit-stride,1,dram
DOT,8,0.0860185,3.12067,134217728,i32,1,0,unit-stride,1,dram
DOT,9,0.0870256,3.08456,134217728,i32,1,0,unit-stride,1,dram
MUL,0,0.133042,1.00884,134217728,i32,1,0,unit-stride,1,dram
MUL,1,0.126833,1.05823,134217728,i32,1,0,unit-stride,1,dram
MUL,2,0.137384,0.976951,134217728,i32,1,0,unit-stride,1,dram
MUL,3,0.130026,1.03224,134217728,i32,1,0,unit-stride,1,dram
MUL,4,0.126025,1.06501,134217728,i32,1,0,unit-stride,1,dram
MUL,5,0.129032,1.04019,134217728,i32,1,0,unit-stride,1,dram
MUL,6,0.127027,1.05661,134217728,i32,1,0,unit-stride,1,dram
MUL,7,0.127034,1.05655,134217728,i32,1,0,unit-stride,1,dram
MUL,8,0.127684,1.05117,134217728,i32,1,0,unit-stride,1,dram
MUL,9,0.127658,1.05138,134217728,i32,1,0,unit-stride,1,dram
STENCIL,0,0.150063,4.47205,134217728,i32,1,0,unit-stride,1,dram
STENCIL,1,0.139033,4.82683,134217728,i32,1,0,unit-stride,1,dram
STENCIL,2,0.147964,4.5355,134217728,i32,1,0,unit-stride,1,dram
STENCIL,3,0.152057,4.41341,134217728,i32,1,0,unit-stride,1,dram
STENCIL,4,0.173015,3.87879,134217728,i32,1,0,unit-stride,1,dram
STENCIL,5,0.165032,4.06642,134217728,i32,1,0,unit-stride,1,dram
STENCIL,6,0.159066,4.21892,134217728,i32,1,0,unit-stride,1,dram
STENCIL,7,0.173009,3.87893,134217728,i32,1,0,unit-stride,1,dram
STENCIL,8,0.147061,4.56333,134217728,i32,1,0,unit-stride,1,dram
STENCIL,9,0.144004,4.66022,134217728,i32,1,0,unit-stride,1,dram
