kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.0990286,1.35534,67108864,f64,1,0,unit-stride,1,dram
SAXPY,1,0.0880463,1.5244,67108864,f64,1,0,unit-stride,1,dram
SAXPY,2,0.0950201,1.41252,67108864,f64,1,0,unit-stride,1,dram
SAXPY,3,0.098024,1.36923,67108864,f64,1,0,unit-stride,1,dram
SAXPY,4,0.0787569,1.7042,67108864,f64,1,0,unit-stride,1,dram
SAXPY,5,0.0760174,1.76562,67108864,f64,1,0,unit-stride,1,dram
SAXPY,6,0.0760257,1.76543,67108864,f64,1,0,unit-stride,1,dram
SAXPY,7,0.0810173,1.65666,67108864,f64,1,0,unit-stride,1,dram
SAXPY,8,0.0752564,1.78347,67108864,f64,1,0,unit-stride,1,dram
SAXPY,9,0.0787615,1.7041,67108864,f64,1,0,unit-stride,1,dram
DOT,0,0.0506139,2.6518,67108864,f64,1,0,unit-stride,1,dram
DOT,1,0.0570181,2.35395,67108864,f64,1,0,unit-stride,1,dram
DOT,2,0.0470063,2.85531,67108864,f64,1,0,unit-stride,1,dram
DOT,3,0.0440143,3.04941,67108864,f64,1,0,unit-stride,1,dram
DOT,4,0.0449966,2.98284,67108864,f64,1,0,unit-stride,1,dram
DOT,5,0.048001,2.79614,67108864,f64,1,0,unit-stride,1,dram
DOT,6,0.0510315,2.6301,67108864,f64,1,0,unit-stride,1,dram
DOT,7,0.0499923,2.68477,67108864,f64,1,0,unit-stride,1,dram
DOT,8,0.0520346,2.57939,67108864,f64,1,0,unit-stride,1,dram
DOT,9,0.053009,2.53198,67108864,f64,1,0,unit-stride,1,dram
MUL,0,0.118032,0.568565,67108864,f64,1,0,unit-stride,1,dram
MUL,1,0.101035,0.664214,67108864,f64,1,0,unit-stride,1,dram
MUL,2,0.100992,0.664498,67108864,f64,1,0,unit-stride,1,dram
MUL,3,0.109442,0.613192,67108864,f64,1,0,unit-stride,1,dram
MUL,4,0.100635,0.666852,67108864,f64,1,0,unit-stride,1,dram
MUL,5,0.101024,0.664288,67108864,f64,1,0,unit-stride,1,dram
MUL,6,0.104019,0.645162,67108864,f64,1,0,unit-stride,1,dram
MUL,7,0.104027,0.645111,67108864,f64,1,0,unit-stride,1,dram
MUL,8,0.105504,0.636077,67108864,f64,1,0,unit-stride,1,dram
MUL,9,0.109023,0.615551,67108864,f64,1,0,unit-stride,1,dram
STENCIL,0,0.0840427,3.99255,67108864,f64,1,0,unit-stride,1,dram
STENCIL,1,0.0840182,3.99371,67108864,f64,1,0,unit-stride,1,dram
STENCIL,2,0.0770153,4.35685,67108864,f64,1,0,unit-stride,1,dram
STENCIL,3,0.0800197,4.19327,67108864,f64,1,0,unit-stride,1,dram
STENCIL,4,0.0770182,4.35669,67108864,f64,1,0,unit-stride,1,dram
STENCIL,5,0.0778512,4.31007,67108864,f64,1,0,unit-stride,1,dram
STENCIL,6,0.0770172,4.35675,67108864,f64,1,0,unit-stride,1,dram
STENCIL,7,0.0760188,4.41396,67108864,f64,1,0,unit-stride,1,dram
STENCIL,8,0.0820191,4.09105,67108864,f64,1,0,unit-stride,1,dram
STENCIL,9,0.0950169,3.53142,67108864,f64,1,0,unit-stride,1,dram
