kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.0950371,2.82453,134217728,i32,1,0,unit-stride,1,dram
SAXPY,1,0.0804104,3.33832,134217728,i32,1,0,unit-stride,1,dram
SAXPY,2,0.0765587,3.50627,134217728,i32,1,0,unit-stride,1,dram
SAXPY,3,0.0800281,3.35427,134217728,i32,1,0,unit-stride,1,dram
SAXPY,4,0.0810406,3.31236,134217728,i32,1,0,unit-stride,1,dram
SAXPY,5,0.0760121,3.53148,134217728,i32,1,0,unit-stride,1,dram
SAXPY,6,0.0760233,3.53096,134217728,i32,1,0,unit-stride,1,dram
SAXPY,7,0.0750179,3.57829,134217728,i32,1,0,unit-stride,1,dram
SAXPY,8,0.0770159,3.48546,134217728,i32,1,0,unit-stride,1,dram
SAXPY,9,0.0810178,3.31329,134217728,i32,1,0,unit-stride,1,dram
DOT,0,0.0570198,4.70776,134217728,i32,1,0,unit-stride,1,dram
DOT,1,0.0510083,5.26258,134217728,i32,1,0,unit-stride,1,dram
DOT,2,0.0560218,4.79162,134217728,i32,1,0,unit-stride,1,dram
DOT,3,0.0540119,4.96993,134217728,i32,1,0,unit-stride,1,dram
DOT,4,0.0500128,5.36734,134217728,i32,1,0,unit-stride,1,dram
DOT,5,0.0570045,4.70902,134217728,i32,1,0,unit-stride,1,dram
DOT,6,0.0460167,5.83344,134217728,i32,1,0,unit-stride,1,dram
DOT,7,0.0450106,5.96383,134217728,i32,1,0,unit-stride,1,dram
DOT,8,0.0450095,5.96397,134217728,i32,1,0,unit-stride,1,dram
DOT,9,0.0450096,5.96396,134217728,i32,1,0,unit-stride,1,dram
MUL,0,0.118917,1.12867,134217728,i32,1,0,unit-stride,1,dram
MUL,1,0.10166,1.32027,134217728,i32,1,0,unit-stride,1,dram
MUL,2,0.0994855,1.34912,134217728,i32,1,0,unit-stride,1,dram
MUL,3,0.100021,1.3419,134217728,i32,1,0,unit-stride,1,dram
MUL,4,0.103022,1.30281,134217728,i32,1,0,unit-stride,1,dram
MUL,5,0.101026,1.32855,134217728,i32,1,0,unit-stride,1,dram
MUL,6,0.105021,1.27801,134217728,i32,1,0,unit-stride,1,dram
MUL,7,0.109027,1.23105,134217728,i32,1,0,unit-stride,1,dram
MUL,8,0.100021,1.3419,134217728,i32,1,0,unit-stride,1,dram
MUL,9,0.100025,1.34185,134217728,i32,1,0,unit-stride,1,dram
STENCIL,0,0.0910448,7.37097,134217728,i32,1,0,unit-stride,1,dram
STENCIL,1,0.0840156,7.98767,134217728,i32,1,0,unit-stride,1,dram
STENCIL,2,0.0770292,8.71213,134217728,i32,1,0,unit-stride,1,dram
STENCIL,3,0.077014,8.71385,134217728,i32,1,0,unit-stride,1,dram
STENCIL,4,0.0790182,8.49284,134217728,i32,1,0,unit-stride,1,dram
STENCIL,5,0.079017,8.49297,134217728,i32,1,0,unit-stride,1,dram
STENCIL,6,0.077921,8.61242,134217728,i32,1,0,unit-stride,1,dram
STENCIL,7,0.0780083,8.60279,134217728,i32,1,0,unit-stride,1,dram
STENCIL,8,0.0770176,8.71345,134217728,i32,1,0,unit-stride,1,dram
STENCIL,9,0.0790267,8.49192,134217728,i32,1,0,unit-stride,1,dram
