kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
SAXPY,1,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
SAXPY,2,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
SAXPY,3,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
SAXPY,4,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
SAXPY,5,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
SAXPY,6,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
SAXPY,7,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
SAXPY,8,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
SAXPY,9,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
DOT,0,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
DOT,1,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
DOT,2,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
DOT,3,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
DOT,4,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
DOT,5,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
DOT,6,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
DOT,7,0.0010002,0.0491422,24576,f32,1,0,unit-stride,1,l1large
DOT,8,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
DOT,9,0.1,0.00049152,24576,f32,1,0,unit-stride,1,l1large
MUL,0,0.1,0.00024576,24576,f32,1,0,unit-stride,1,l1large
MUL,1,0.1,0.00024576,24576,f32,1,0,unit-stride,1,l1large
MUL,2,0.1,0.00024576,24576,f32,1,0,unit-stride,1,l1large
MUL,3,0.1,0.00024576,24576,f32,1,0,unit-stride,1,l1large
MUL,4,0.1,0.00024576,24576,f32,1,0,unit-stride,1,l1large
MUL,5,0.1,0.00024576,24576,f32,1,0,unit-stride,1,l1large
MUL,6,0.1,0.00024576,24576,f32,1,0,unit-stride,1,l1large
MUL,7,0.1,0.00024576,24576,f32,1,0,unit-stride,1,l1large
MUL,8,0.1,0.00024576,24576,f32,1,0,unit-stride,1,l1large
MUL,9,0.1,0.00024576,24576,f32,1,0,unit-stride,1,l1large
STENCIL,0,0.1,0.0012288,24576,f32,1,0,unit-stride,1,l1large
STENCIL,1,0.1,0.0012288,24576,f32,1,0,unit-stride,1,l1large
STENCIL,2,0.1,0.0012288,24576,f32,1,0,unit-stride,1,l1large
STENCIL,3,0.1,0.0012288,24576,f32,1,0,unit-stride,1,l1large
STENCIL,4,0.1,0.0012288,24576,f32,1,0,unit-stride,1,l1large
STENCIL,5,0.1,0.0012288,24576,f32,1,0,unit-stride,1,l1large
STENCIL,6,0.1,0.0012288,24576,f32,1,0,unit-stride,1,l1large
STENCIL,7,0.1,0.0012288,24576,f32,1,0,unit-stride,1,l1large
STENCIL,8,0.1,0.0012288,24576,f32,1,0,unit-stride,1,l1large
STENCIL,9,0.1,0.0012288,24576,f32,1,0,unit-stride,1,l1large
