kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
SAXPY,1,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
SAXPY,2,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
SAXPY,3,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
SAXPY,4,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
SAXPY,5,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
SAXPY,6,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
SAXPY,7,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
SAXPY,8,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
SAXPY,9,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
DOT,0,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
DOT,1,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
DOT,2,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
DOT,3,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
DOT,4,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
DOT,5,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
DOT,6,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
DOT,7,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
DOT,8,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
DOT,9,0.1,8.192e-05,4096,f32,1,0,unit-stride,1,l1small
MUL,0,0.1,4.096e-05,4096,f32,1,0,unit-stride,1,l1small
MUL,1,0.1,4.096e-05,4096,f32,1,0,unit-stride,1,l1small
MUL,2,0.1,4.096e-05,4096,f32,1,0,unit-stride,1,l1small
MUL,3,0.1,4.096e-05,4096,f32,1,0,unit-stride,1,l1small
MUL,4,0.1,4.096e-05,4096,f32,1,0,unit-stride,1,l1small
MUL,5,0.1,4.096e-05,4096,f32,1,0,unit-stride,1,l1small
MUL,6,0.1,4.096e-05,4096,f32,1,0,unit-stride,1,l1small
MUL,7,0.1,4.096e-05,4096,f32,1,0,unit-stride,1,l1small
MUL,8,0.1,4.096e-05,4096,f32,1,0,unit-stride,1,l1small
MUL,9,0.1,4.096e-05,4096,f32,1,0,unit-stride,1,l1small
STENCIL,0,0.1,0.0002048,4096,f32,1,0,unit-stride,1,l1small
STENCIL,1,0.1,0.0002048,4096,f32,1,0,unit-stride,1,l1small
STENCIL,2,0.1,0.0002048,4096,f32,1,0,unit-stride,1,l1small
STENCIL,3,0.1,0.0002048,4096,f32,1,0,unit-stride,1,l1small
STENCIL,4,0.1,0.0002048,4096,f32,1,0,unit-stride,1,l1small
STENCIL,5,0.1,0.0002048,4096,f32,1,0,unit-stride,1,l1small
STENCIL,6,0.1,0.0002048,4096,f32,1,0,unit-stride,1,l1small
STENCIL,7,0.1,0.0002048,4096,f32,1,0,unit-stride,1,l1small
STENCIL,8,0.1,0.0002048,4096,f32,1,0,unit-stride,1,l1small
STENCIL,9,0.1,0.0002048,4096,f32,1,0,unit-stride,1,l1small
