kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.0010008,2.09548,1048576,f32,1,0,unit-stride,1,l3
SAXPY,1,0.0010004,2.09631,1048576,f32,1,0,unit-stride,1,l3
SAXPY,2,0.0009996,2.09799,1048576,f32,1,0,unit-stride,1,l3
SAXPY,3,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
SAXPY,4,0.0010014,2.09422,1048576,f32,1,0,unit-stride,1,l3
SAXPY,5,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
SAXPY,6,0.0010081,2.0803,1048576,f32,1,0,unit-stride,1,l3
SAXPY,7,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
SAXPY,8,0.0010063,2.08402,1048576,f32,1,0,unit-stride,1,l3
SAXPY,9,0.0009852,2.12866,1048576,f32,1,0,unit-stride,1,l3
DOT,0,0.001004,2.0888,1048576,f32,1,0,unit-stride,1,l3
DOT,1,0.0010149,2.06636,1048576,f32,1,0,unit-stride,1,l3
DOT,2,0.001,2.09715,1048576,f32,1,0,unit-stride,1,l3
DOT,3,0.0010092,2.07803,1048576,f32,1,0,unit-stride,1,l3
DOT,4,0.0009923,2.11343,1048576,f32,1,0,unit-stride,1,l3
DOT,5,0.0010025,2.09192,1048576,f32,1,0,unit-stride,1,l3
DOT,6,0.0010061,2.08444,1048576,f32,1,0,unit-stride,1,l3
DOT,7,0.0010007,2.09569,1048576,f32,1,0,unit-stride,1,l3
DOT,8,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
DOT,9,0.0009997,2.09778,1048576,f32,1,0,unit-stride,1,l3
MUL,0,0.0010175,1.03054,1048576,f32,1,0,unit-stride,1,l3
MUL,1,0.0010175,1.03054,1048576,f32,1,0,unit-stride,1,l3
MUL,2,0.1,0.0104858,1048576,f32,1,0,unit-stride,1,l3
MUL,3,0.0009961,1.05268,1048576,f32,1,0,unit-stride,1,l3
MUL,4,0.0010039,1.0445,1048576,f32,1,0,unit-stride,1,l3
MUL,5,0.0010001,1.04847,1048576,f32,1,0,unit-stride,1,l3
MUL,6,0.0009682,1.08302,1048576,f32,1,0,unit-stride,1,l3
MUL,7,0.0010248,1.0232,1048576,f32,1,0,unit-stride,1,l3
MUL,8,0.0010063,1.04201,1048576,f32,1,0,unit-stride,1,l3
MUL,9,0.1,0.0104858,1048576,f32,1,0,unit-stride,1,l3
STENCIL,0,0.1,0.0524288,1048576,f32,1,0,unit-stride,1,l3
STENCIL,1,0.0010183,5.14866,1048576,f32,1,0,unit-stride,1,l3
STENCIL,2,0.0010116,5.18276,1048576,f32,1,0,unit-stride,1,l3
STENCIL,3,0.0010024,5.23033,1048576,f32,1,0,unit-stride,1,l3
STENCIL,4,0.0019727,2.65772,1048576,f32,1,0,unit-stride,1,l3
STENCIL,5,0.0010168,5.15625,1048576,f32,1,0,unit-stride,1,l3
STENCIL,6,0.00101,5.19097,1048576,f32,1,0,unit-stride,1,l3
STENCIL,7,0.0010019,5.23294,1048576,f32,1,0,unit-stride,1,l3
STENCIL,8,0.0009979,5.25391,1048576,f32,1,0,unit-stride,1,l3
STENCIL,9,0.1,0.0524288,1048576,f32,1,0,unit-stride,1,l3
