kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.130535,1.02821,67108864,f64,1,0,unit-stride,1,dram
SAXPY,1,0.128035,1.04829,67108864,f64,1,0,unit-stride,1,dram
SAXPY,2,0.110111,1.21893,67108864,f64,1,0,unit-stride,1,dram
SAXPY,3,0.0988378,1.35796,67108864,f64,1,0,unit-stride,1,dram
SAXPY,4,0.10934,1.22753,67108864,f64,1,0,unit-stride,1,dram
SAXPY,5,0.114305,1.17421,67108864,f64,1,0,unit-stride,1,dram
SAXPY,6,0.106213,1.26367,67108864,f64,1,0,unit-stride,1,dram
SAXPY,7,0.106295,1.2627,67108864,f64,1,0,unit-stride,1,dram
SAXPY,8,0.106247,1.26326,67108864,f64,1,0,unit-stride,1,dram
SAXPY,9,0.103467,1.2972,67108864,f64,1,0,unit-stride,1,dram
DOT,0,0.0842277,1.59351,67108864,f64,1,0,unit-stride,1,dram
DOT,1,0.085388,1.57186,67108864,f64,1,0,unit-stride,1,dram
DOT,2,0.0779736,1.72132,67108864,f64,1,0,unit-stride,1,dram
DOT,3,0.0775682,1.73032,67108864,f64,1,0,unit-stride,1,dram
DOT,4,0.0812,1.65293,67108864,f64,1,0,unit-stride,1,dram
DOT,5,0.0788592,1.70199,67108864,f64,1,0,unit-stride,1,dram
DOT,6,0.0808181,1.66074,67108864,f64,1,0,unit-stride,1,dram
DOT,7,0.0819805,1.63719,67108864,f64,1,0,unit-stride,1,dram
DOT,8,0.0938313,1.43042,67108864,f64,1,0,unit-stride,1,dram
DOT,9,0.0790469,1.69795,67108864,f64,1,0,unit-stride,1,dram
MUL,0,0.11837,0.566943,67108864,f64,1,0,unit-stride,1,dram
MUL,1,0.114855,0.58429,67108864,f64,1,0,unit-stride,1,dram
MUL,2,0.126634,0.529945,67108864,f64,1,0,unit-stride,1,dram
MUL,3,0.117762,0.56987,67108864,f64,1,0,unit-stride,1,dram
MUL,4,0.116457,0.576253,67108864,f64,1,0,unit-stride,1,dram
MUL,5,0.117314,0.572047,67108864,f64,1,0,unit-stride,1,dram
MUL,6,0.11948,0.561673,67108864,f64,1,0,unit-stride,1,dram
MUL,7,0.125031,0.536737,67108864,f64,1,0,unit-stride,1,dram
MUL,8,0.117901,0.569196,67108864,f64,1,0,unit-stride,1,dram
MUL,9,0.120043,0.559039,67108864,f64,1,0,unit-stride,1,dram
STENCIL,0,0.123873,2.70877,67108864,f64,1,0,unit-stride,1,dram
STENCIL,1,0.154448,2.17253,67108864,f64,1,0,unit-stride,1,dram
STENCIL,2,0.134495,2.49484,67108864,f64,1,0,unit-stride,1,dram
STENCIL,3,0.134007,2.50393,67108864,f64,1,0,unit-stride,1,dram
STENCIL,4,0.130705,2.56718,67108864,f64,1,0,unit-stride,1,dram
STENCIL,5,0.130663,2.56801,67108864,f64,1,0,unit-stride,1,dram
STENCIL,6,0.135711,2.47249,67108864,f64,1,0,unit-stride,1,dram
STENCIL,7,0.13616,2.46433,67108864,f64,1,0,unit-stride,1,dram
STENCIL,8,0.14243,2.35586,67108864,f64,1,0,unit-stride,1,dram
STENCIL,9,0.142952,2.34725,67108864,f64,1,0,unit-stride,1,dram
