kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.130335,2.05959,134217728,i32,1,0,unit-stride,1,dram
SAXPY,1,0.138324,1.94063,134217728,i32,1,0,unit-stride,1,dram
SAXPY,2,0.136812,1.96208,134217728,i32,1,0,unit-stride,1,dram
SAXPY,3,0.145057,1.85056,134217728,i32,1,0,unit-stride,1,dram
SAXPY,4,0.141657,1.89497,134217728,i32,1,0,unit-stride,1,dram
SAXPY,5,0.134331,1.99831,134217728,i32,1,0,unit-stride,1,dram
SAXPY,6,0.159073,1.6875,134217728,i32,1,0,unit-stride,1,dram
SAXPY,7,0.129678,2.07002,134217728,i32,1,0,unit-stride,1,dram
SAXPY,8,0.127244,2.10962,134217728,i32,1,0,unit-stride,1,dram
SAXPY,9,0.126289,2.12556,134217728,i32,1,0,unit-stride,1,dram
DOT,0,0.114599,2.34239,134217728,i32,1,0,unit-stride,1,dram
DOT,1,0.120733,2.22338,134217728,i32,1,0,unit-stride,1,dram
DOT,2,0.13663,1.96468,134217728,i32,1,0,unit-stride,1,dram
DOT,3,0.124028,2.16431,134217728,i32,1,0,unit-stride,1,dram
DOT,4,0.12669,2.11884,134217728,i32,1,0,unit-stride,1,dram
DOT,5,0.116897,2.29635,134217728,i32,1,0,unit-stride,1,dram
DOT,6,0.0989149,2.7138,134217728,i32,1,0,unit-stride,1,dram
DOT,7,0.106933,2.51031,134217728,i32,1,0,unit-stride,1,dram
DOT,8,0.108237,2.48008,134217728,i32,1,0,unit-stride,1,dram
DOT,9,0.10124,2.65148,134217728,i32,1,0,unit-stride,1,dram
MUL,0,0.147507,0.90991,134217728,i32,1,0,unit-stride,1,dram
MUL,1,0.146969,0.913236,134217728,i32,1,0,unit-stride,1,dram
MUL,2,0.139791,0.960134,134217728,i32,1,0,unit-stride,1,dram
MUL,3,0.150231,0.893411,134217728,i32,1,0,unit-stride,1,dram
MUL,4,0.16565,0.810248,134217728,i32,1,0,unit-stride,1,dram
MUL,5,0.155611,0.862519,134217728,i32,1,0,unit-stride,1,dram
MUL,6,0.147553,0.909625,134217728,i32,1,0,unit-stride,1,dram
MUL,7,0.150191,0.893648,134217728,i32,1,0,unit-stride,1,dram
MUL,8,0.153085,0.876755,134217728,i32,1,0,unit-stride,1,dram
MUL,9,0.157616,0.851548,134217728,i32,1,0,unit-stride,1,dram
STENCIL,0,0.201915,3.32362,134217728,i32,1,0,unit-stride,1,dram
STENCIL,1,0.18598,3.6084,134217728,i32,1,0,unit-stride,1,dram
STENCIL,2,0.185921,3.60953,134217728,i32,1,0,unit-stride,1,dram
STENCIL,3,0.183119,3.66478,134217728,i32,1,0,unit-stride,1,dram
STENCIL,4,0.186235,3.60344,134217728,i32,1,0,unit-stride,1,dram
STENCIL,5,0.182075,3.68578,134217728,i32,1,0,unit-stride,1,dram
STENCIL,6,0.206028,3.25727,134217728,i32,1,0,unit-stride,1,dram
STENCIL,7,0.194808,3.44487,134217728,i32,1,0,unit-stride,1,dram
STENCIL,8,0.201834,3.32495,134217728,i32,1,0,unit-stride,1,dram
STENCIL,9,0.188897,3.55267,134217728,i32,1,0,unit-stride,1,dram
