kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.102029,2.63097,134217728,f32,1,0,unit-stride,1,dram
SAXPY,1,0.104066,2.57947,134217728,f32,1,0,unit-stride,1,dram
SAXPY,2,0.091701,2.92729,134217728,f32,1,0,unit-stride,1,dram
SAXPY,3,0.0880187,3.04975,134217728,f32,1,0,unit-stride,1,dram
SAXPY,4,0.0820192,3.27284,134217728,f32,1,0,unit-stride,1,dram
SAXPY,5,0.0760521,3.52963,134217728,f32,1,0,unit-stride,1,dram
SAXPY,6,0.0820028,3.27349,134217728,f32,1,0,unit-stride,1,dram
SAXPY,7,0.0776757,3.45585,134217728,f32,1,0,unit-stride,1,dram
SAXPY,8,0.0776878,3.45531,134217728,f32,1,0,unit-stride,1,dram
SAXPY,9,0.0797899,3.36428,134217728,f32,1,0,unit-stride,1,dram
DOT,0,0.051906,5.17157,134217728,f32,1,0,unit-stride,1,dram
DOT,1,0.0530388,5.06111,134217728,f32,1,0,unit-stride,1,dram
DOT,2,0.0529864,5.06612,134217728,f32,1,0,unit-stride,1,dram
DOT,3,0.0522918,5.13341,134217728,f32,1,0,unit-stride,1,dram
DOT,4,0.0473353,5.67094,134217728,f32,1,0,unit-stride,1,dram
DOT,5,0.0519854,5.16367,134217728,f32,1,0,unit-stride,1,dram
DOT,6,0.0460351,5.8311,134217728,f32,1,0,unit-stride,1,dram
DOT,7,0.0459859,5.83734,134217728,f32,1,0,unit-stride,1,dram
DOT,8,0.0496405,5.40759,134217728,f32,1,0,unit-stride,1,dram
DOT,9,0.0510058,5.26284,134217728,f32,1,0,unit-stride,1,dram
MUL,0,0.110026,1.21988,134217728,f32,1,0,unit-stride,1,dram
MUL,1,0.103096,1.30187,134217728,f32,1,0,unit-stride,1,dram
MUL,2,0.102359,1.31125,134217728,f32,1,0,unit-stride,1,dram
MUL,3,0.101745,1.31916,134217728,f32,1,0,unit-stride,1,dram
MUL,4,0.102227,1.31294,134217728,f32,1,0,unit-stride,1,dram
MUL,5,0.107025,1.25408,134217728,f32,1,0,unit-stride,1,dram
MUL,6,0.110652,1.21297,134217728,f32,1,0,unit-stride,1,dram
MUL,7,0.118024,1.13721,134217728,f32,1,0,unit-stride,1,dram
MUL,8,0.106021,1.26596,134217728,f32,1,0,unit-stride,1,dram
MUL,9,0.113644,1.18104,134217728,f32,1,0,unit-stride,1,dram
STENCIL,0,0.0890234,7.53834,134217728,f32,1,0,unit-stride,1,dram
STENCIL,1,0.0878506,7.63898,134217728,f32,1,0,unit-stride,1,dram
STENCIL,2,0.0840537,7.98405,134217728,f32,1,0,unit-stride,1,dram
STENCIL,3,0.082018,8.18221,134217728,f32,1,0,unit-stride,1,dram
STENCIL,4,0.0790186,8.49279,134217728,f32,1,0,unit-stride,1,dram
STENCIL,5,0.0836226,8.02521,134217728,f32,1,0,unit-stride,1,dram
STENCIL,6,0.0771181,8.70209,134217728,f32,1,0,unit-stride,1,dram
STENCIL,7,0.0851143,7.88456,134217728,f32,1,0,unit-stride,1,dram
STENCIL,8,0.0820204,8.18197,134217728,f32,1,0,unit-stride,1,dram
STENCIL,9,0.0788978,8.5058,134217728,f32,1,0,unit-stride,1,dram
