kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.0010035,2.08984,1048576,f32,1,0,unit-stride,1,l3
SAXPY,1,0.0010201,2.05583,1048576,f32,1,0,unit-stride,1,l3
SAXPY,2,0.0010114,2.07351,1048576,f32,1,0,unit-stride,1,l3
SAXPY,3,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
SAXPY,4,0.0009977,2.10199,1048576,f32,1,0,unit-stride,1,l3
SAXPY,5,0.001002,2.09297,1048576,f32,1,0,unit-stride,1,l3
SAXPY,6,0.0009719,2.15779,1048576,f32,1,0,unit-stride,1,l3
SAXPY,7,0.0009991,2.09904,1048576,f32,1,0,unit-stride,1,l3
SAXPY,8,0.0009997,2.09778,1048576,f32,1,0,unit-stride,1,l3
SAXPY,9,0.0009988,2.09967,1048576,f32,1,0,unit-stride,1,l3
DOT,0,0.001001,2.09506,1048576,f32,1,0,unit-stride,1,l3
DOT,1,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
DOT,2,0.0010006,2.09589,1048576,f32,1,0,unit-stride,1,l3
DOT,3,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
DOT,4,0.0010166,2.06291,1048576,f32,1,0,unit-stride,1,l3
DOT,5,0.0009858,2.12736,1048576,f32,1,0,unit-stride,1,l3
DOT,6,0.0009988,2.09967,1048576,f32,1,0,unit-stride,1,l3
DOT,7,0.1,0.0209715,1048576,f32,1,0,unit-stride,1,l3
DOT,8,0.0010207,2.05462,1048576,f32,1,0,unit-stride,1,l3
DOT,9,0.0010028,2.0913,1048576,f32,1,0,unit-stride,1,l3
MUL,0,0.0010009,1.04763,1048576,f32,1,0,unit-stride,1,l3
MUL,1,0.0010061,1.04222,1048576,f32,1,0,unit-stride,1,l3
MUL,2,0.0010064,1.04191,1048576,f32,1,0,unit-stride,1,l3
MUL,3,0.0010077,1.04056,1048576,f32,1,0,unit-stride,1,l3
MUL,4,0.001012,1.03614,1048576,f32,1,0,unit-stride,1,l3
MUL,5,0.0009746,1.0759,1048576,f32,1,0,unit-stride,1,l3
MUL,6,0.0019999,0.524314,1048576,f32,1,0,unit-stride,1,l3
MUL,7,0.0010011,1.04742,1048576,f32,1,0,unit-stride,1,l3
MUL,8,0.0010145,1.03359,1048576,f32,1,0,unit-stride,1,l3
MUL,9,0.0019846,0.528356,1048576,f32,1,0,unit-stride,1,l3
STENCIL,0,0.0010032,5.22616,1048576,f32,1,0,unit-stride,1,l3
STENCIL,1,0.0009996,5.24498,1048576,f32,1,0,unit-stride,1,l3
STENCIL,2,0.0020032,2.61725,1048576,f32,1,0,unit-stride,1,l3
STENCIL,3,0.0009997,5.24445,1048576,f32,1,0,unit-stride,1,l3
STENCIL,4,0.0010009,5.23817,1048576,f32,1,0,unit-stride,1,l3
STENCIL,5,0.0009972,5.2576,1048576,f32,1,0,unit-stride,1,l3
STENCIL,6,0.1,0.0524288,1048576,f32,1,0,unit-stride,1,l3
STENCIL,7,0.0010068,5.20747,1048576,f32,1,0,unit-stride,1,l3
STENCIL,8,0.0009917,5.28676,1048576,f32,1,0,unit-stride,1,l3
STENCIL,9,0.0010204,5.13806,1048576,f32,1,0,unit-stride,1,l3
