kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.0818007,3.28158,134217728,i32,1,0,unit-stride,1,dram
SAXPY,1,0.0824122,3.25723,134217728,i32,1,0,unit-stride,1,dram
SAXPY,2,0.0809553,3.31585,134217728,i32,1,0,unit-stride,1,dram
SAXPY,3,0.0909761,2.95062,134217728,i32,1,0,unit-stride,1,dram
SAXPY,4,0.0985216,2.72464,134217728,i32,1,0,unit-stride,1,dram
SAXPY,5,0.0864158,3.10632,134217728,i32,1,0,unit-stride,1,dram
SAXPY,6,0.0833208,3.22171,134217728,i32,1,0,unit-stride,1,dram
SAXPY,7,0.0816435,3.2879,134217728,i32,1,0,unit-stride,1,dram
SAXPY,8,0.0806629,3.32787,134217728,i32,1,0,unit-stride,1,dram
SAXPY,9,0.0825782,3.25068,134217728,i32,1,0,unit-stride,1,dram
DOT,0,0.048657,5.51689,134217728,i32,1,0,unit-stride,1,dram
DOT,1,0.047353,5.66882,134217728,i32,1,0,unit-stride,1,dram
DOT,2,0.0469185,5.72131,134217728,i32,1,0,unit-stride,1,dram
DOT,3,0.0464065,5.78444,134217728,i32,1,0,unit-stride,1,dram
DOT,4,0.0463774,5.78807,134217728,i32,1,0,unit-stride,1,dram
DOT,5,0.0464825,5.77498,134217728,i32,1,0,unit-stride,1,dram
DOT,6,0.0458936,5.84908,134217728,i32,1,0,unit-stride,1,dram
DOT,7,0.0467451,5.74254,134217728,i32,1,0,unit-stride,1,dram
DOT,8,0.0476718,5.63091,134217728,i32,1,0,unit-stride,1,dram
DOT,9,0.0474004,5.66315,134217728,i32,1,0,unit-stride,1,dram
MUL,0,0.112257,1.19563,134217728,i32,1,0,unit-stride,1,dram
MUL,1,0.110805,1.2113,134217728,i32,1,0,unit-stride,1,dram
MUL,2,0.10966,1.22395,134217728,i32,1,0,unit-stride,1,dram
MUL,3,0.106194,1.2639,134217728,i32,1,0,unit-stride,1,dram
MUL,4,0.105854,1.26795,134217728,i32,1,0,unit-stride,1,dram
MUL,5,0.110446,1.21524,134217728,i32,1,0,unit-stride,1,dram
MUL,6,0.115463,1.16244,134217728,i32,1,0,unit-stride,1,dram
MUL,7,0.105566,1.27142,134217728,i32,1,0,unit-stride,1,dram
MUL,8,0.105451,1.2728,134217728,i32,1,0,unit-stride,1,dram
MUL,9,0.105821,1.26835,134217728,i32,1,0,unit-stride,1,dram
STENCIL,0,0.0872311,7.69323,134217728,i32,1,0,unit-stride,1,dram
STENCIL,1,0.0847326,7.92008,134217728,i32,1,0,unit-stride,1,dram
STENCIL,2,0.0840073,7.98846,134217728,i32,1,0,unit-stride,1,dram
STENCIL,3,0.0843108,7.9597,134217728,i32,1,0,unit-stride,1,dram
STENCIL,4,0.0832187,8.06416,134217728,i32,1,0,unit-stride,1,dram
STENCIL,5,0.0830994,8.07573,134217728,i32,1,0,unit-stride,1,dram
STENCIL,6,0.088316,7.59872,134217728,i32,1,0,unit-stride,1,dram
STENCIL,7,0.0852545,7.87159,134217728,i32,1,0,unit-stride,1,dram
STENCIL,8,0.0865856,7.75058,134217728,i32,1,0,unit-stride,1,dram
STENCIL,9,0.0838979,7.99887,134217728,i32,1,0,unit-stride,1,dram
